"Language","original","english","czech","german","russian","polish","hungarian","italian","spanish","french","chinese","japanese","portuguese","chinesesimp",
"trader_selling_cat_vehicleInv","Vehicle inventory","Vehicle inventory","Inventář auta","Fahrzeug-Inventar","Инвентарь транспорта","Inwentaryzacja samochodów","Autókészlet","Inventario del veicolo","Inventario de vehículos","Inventaire des véhicules","汽车库存","車両在庫","Inventário de veículos","汽车库存",
"trader_selling_cat_inventory","Your inventory","Your inventory","Tvůj inventář","Dein Inventar","Твой инвентарь","Twój ekwipunek","Az Ön készlete","Il tuo inventario","Tu inventario","Votre inventaire","你的库存","あなたの在庫","Seu inventário","你的库存",
"tc_clothes","Clothes","Clothes","Oblečení","Klamotten","Одежда","Odzież","Ruhák","Vestiti","Ropa","Vêtements","衣物","服","Roupas","衣物",
"tc_military","Military","Military","Vojenské","Militär","Военное","Wojskowy","Katonai","Militare","Militar","Militaire","军事","軍隊","Militar","军事",
"tc_food","Food","Food","Občerstvení","Lebensmittel","Продукты","Odświeżenie","Felüdítés","cibo","alimento","nourriture","食物","食べ物","Comida","食物",
"tc_tools","Tools","Tools","Nástroje","Werkzeuge","Инструменты","Narzędzia","Szerszámok","Strumenti","Herramientas","Outils","工具","ツール","Ferramentas","工具",
"tc_vehicles","Vehicles","Vehicles","Vozidla","Autos","Транспортные средства","Pojazdy","Járművek","Veicoli","Vehículo","Véhicules","交通工具","車両","Veículos","交通工具",
"tc_hunting","Hunting","Hunting","Lovecké","Jagen","Охота","Polowanie","Vadászat","Cacciatore","Cazador","Chasseur","狩猎","狩猟","Caçador","狩猎",
"tc_ammo","Ammo","Ammo","Munice","Munition","Патроны","Amunicja","Lőszer","Munizioni","Munición","Munition","弹药","弾薬","Munição","弹药",
"tc_civil","Civil","Civil","Civilní","Zivil","Гражданское","Cywil","Polgári","Civile","Civil","Civil","平民","市民","Civil","平民",
"tc_constructing","Constructing","Constructing","Stavění","Konstruktion","Строительство","Budynek","Épület","Costruzione","Construcción","Construction","构造","構築","Construção","构造",
"tc_canned","Canned","Canned","Konzervované","Konserven","Консервы","W puszkach","Konzervált","In scatola","Enlatado","En conserve","罐装","缶詰","Enlatados","罐装",
"tc_drinks","Drinks","Drinks","Nápoje","Getränke","Напитки","Napoje","Ital","Bevande","Bebidas","Boisson","饮料","飲み物","Bebidas","饮料",
"tc_eletronics","Eletronics","Eletronics","Elektronika","Elektronik","Электроника","Elektronika","Elektronika","Elettronica","Electrónica","Électronique","电器产品","エレトロニクス","Eletronicos","电器产品",
"tc_equipments","Equipments","Equipments","Vybavení","Ausrüstungen","Снаряжение","Ekwipunek","Felszerelés","Attrezzature","Equipos","Équipements","设备","機器","Equipamentos","设备",
"tc_fresh","Fresh","Fresh","Čerstvé","Frisch","Свежая еда","Świeżo","Frissen","Moderno","Moderno","Moderne","新的","新鮮","Moderno","新的",
"tc_gardening","Gardening","Gardening","Zahradničení","Gärtnern","Садоводство","Prace ogrodowe","Kertészkedés","Giardinaggio","Jardinería","Jardinage","园艺","園芸","Jardinagem","园艺",
"tc_grenade","Grenades","Grenades","Granáty","Granaten","Гранаты","Granaty","Gránátok","Granate","Granadas","Grenades","手榴弹","手rena弾","Granadas","手榴弹",
"tc_mines","Mines","Mines","Miny","Mines","Мины","Kopalnie","Bányák","Miniere","Minas","Mines","矿山","鉱山","Minas","矿山",
"tc_magazines","Magazines","Magazines","Zásobníky","Magazinen","Магазины","czołgi","Tartályok","Caricatori","Cargadores","Chargeurs","弹夹","雑誌","Carregadores","弹夹",
"tc_medic","Medic","Medic","Zdravotnické","Medikamente","Медицина","Medyczny","Orvosi","Medico","Médico","Docteur","医药","メディック","Médico","医药",
"tc_parts","Parts","Parts","Náhradní díly","Ersatzteile","Запчасти","Części zamienne","Alkatrészek","Parti","Partes","les pièces","零件","部品","Peças","零件",
"tc_weapons","Weapons","Weapons","Zbraně","Waffen","Оружие","Pistolety","Fegyverek","Arma","Arma","Arme","武器","兵器","Armas","武器",
"tc_armband","Armband","Armband","Označování pásky","Armbänder","Повязки на руку","Taśma","Szalag","MORSETTO","Abrazadera","Serrer","臂章","アームバンド","Braçadeira","臂章",
"tc_assaultrifles","Assault rifles","Assault rifles","Útočné pušky","Sturmgewehr","Штурмовые винтовки","Karabiny szturmowe","Gépkarabélyok","Fucili di rapina","Rifles de robo","Fusils de vol","突击步枪","アサルトライフル","Rifles de assalto","突击步枪",
"tc_attachments","Attachments","Attachments","Příslušenství","Zubehörteile","Оружейные обвесы","Akcesoria","kiegészítők","Allegati","Archivos adjuntos","Attachements","附属装置","添付ファイル","Anexos","附属装置",
"tc_axes","Axes","Axes","Sekery","Äxte","Топоры","Topór","Fejsze","Asce","Hachas","Haches","斧头","軸","Eixos","斧头",
"tc_bags","Bags","Bags","Batohy","Rucksäcke","Рюкзаки","Plecaki","Hátizsákok","Borsa di studio","Beca","Bourse","包包","バッグ","Bolsas","包包",
"tc_cans","Cans","Cans","Plechovky","Büchsen","Банки","Cyna","Ón","Lattine","Latas","Canettes","易拉罐","缶","Latas","易拉罐",
"tc_packaged","Packaged","Packaged","Balené","Verpackte","Упаковки","zapakowane","Csomagolt","Confezionato","Lleno","Emballé","包装","パッケージ","Embalado","包装",
"tc_bayonets","Bayonets","Bayonets","Bajonety","Bajonett","Штыки","Bagnet","Bajonett","Baionette","Bayonetas","Baïonnettes","刺刀","銃剣","Baionetas","刺刀",
"tc_belts","Belts","Belts","Pásky","Gürtel","Пояса","Taśma","Szalag","Cinghie","Cinturón","Ceintures","皮带","ベルト","Cintos","皮带",
"tc_bones","Bones","Bones","Ostatky","Knochen","Кости","Pozostaje","Maradványok","Ossa","Huesos","Os","身体","骨格","Ossos","身体",
"tc_human_bones","Bones","Bones","Ostatky","Knochen","Человеческие кости","Pozostaje","Maradványok","Ossa","Huesos","Os","身体","骨格","Ossos","身体",
"tc_boots","Boots","Boots","Boty","Schuhe","Обувь","Buty","Csizma","Stivali","Botas","Des bottes","靴子","ブーツ","Botas","靴子",
"tc_canisters","Canisters","Canisters","Kanistry","Kanisters","Канистры","Kanistry","Zsarnokok","Ciotole","Bochas","Boules","燃油容器","キャニスター","Vasilhas","燃油容器",
"tc_cargo","Cargo","Cargo","Nákladní","Ladungen","Груз","Ładunek","Szállítmány","Carica","Cargar","Charge","货车","貨物","Carga","货车",
"tc_compensator","Compensator","Compensator","Kompenzátory","Kompensator","Компенсаторы","Kompensatorzy","Kompenzátorok","Compensatore","Compensador","Compensateur","补偿器","補償器","Compensador","补偿器",
"tc_crafting","Crafting & building","Crafting & building","Stavení","Basteln & Bauen","Крафт и строительство","Budynek","Épület","Creazione e costruzione","Creación y construcción","Création et construction","制作&建筑","クラフトと建物","Criação & construção","制作&建筑",
"tc_doors","Doors","Doors","Dveře","Türen","Двери","Drzwi","Ajtó","Porte","Puertas","Des portes","车门","ドア","Portas","大门",
"tc_crops","Crops","Crops","Plody","Pflanzen","Растения","Owoce","Gyümölcsök","Piantagioni","Plantaciones","Plantations","农作物","作物","Plantações","农作物",
"tc_ghillie","Ghillie","Ghillie","Ghillie","Ghillie","Камуфляж","Ghillie","Ghillie","Ghillie","Ghillie","Ghillie","吉利服","ギリー","Ghillie","吉利服",
"tc_gloves","Gloves","Gloves","Rukavice","Handschuhe","Перчатки","Rękawica","Kesztyű","Guanti","Guantes","Gants","手套","手袋","Luvas","手套",
"tc_handmade","Handmade","Handmade","Runí výrobky","Handgefertigt","Ручная работа","Wykonany ręcznie","Kézzel készített","Fatto a mano","Hecho a mano","Fait main","手工制作","手作り","Feito à mão","手工制作",
"tc_handtohand","HandToHand","HandToHand","Na férovku","Hand zu Hand","Холодное оружие","Na targach","Vásáron","Mano -mano","Manual","Main-main","冷兵器","ハンドトゥハンド","Mão a mão","冷兵器",
"tc_head","Head","Head","Hlava","Mützen","Головные уборы","Głowa","Fej","Testa","Cabeza","Diriger","头","頭","Cabeça","头",
"tc_hood","Hood","Hood","Kapoty","Hauben","Капоты","Czapeczka","Motorháztető","Cappuccio","Capucha","Capuche","引擎盖","フード","Capuz","引擎盖",
"tc_knifes","Knifes","Knifes","Nože","Messer","Ножи","Noże","Kés","Coltello","Cuchillo","Couteau","刀子","ナイフ","Facas","刀子",
"tc_lights","Lights","Lights","Světla","Lichter","Освещение","Światła","Lámpák","Luci","Luces","Lumières","照明设备","ライト","Luzes","照明设备",
"tc_locks","Locks","Locks","Zámky","Sperren","Замки","Zamki","Zár","Serrature","Cerraduras","Écluses","锁具","ロック","Fechaduras","锁具",
"tc_mask","Mask","Mask","Masky","Masken","Маски","Maski","Maszk","Maschera","Máscara","Masque","防毒面具","マスク","Máscara","防毒面具",
"tc_materials","Materials","Materials","Materiál","Materialien","Материалы","Materiał","Anyag","Materiale","Material","Matériel","材料","材料","Materiais","材料",
"tc_meat","Meat","Meat","Maso","Fleische","Мясо","Mięso","Hús","La carne","Carne","Moi à","肉类","肉","Carne","肉类",
"tc_mushrooms","Mushrooms","Mushrooms","Houby","Pilze","Грибы","Grzyby","Gomba","Funghi","Champiñones","Champignons","蘑菇","きのこ","Cogumelos","蘑菇",
"tc_nbc","NBC","NBC","NBC","Strahlenschutz","Защита от радиации","NBC","NBC","NBC","NBC","Nbc","防辐射装备","NBC","NBC","防辐射装备",
"tc_optic","Optics","Optics","Optiky","Zielfernrohre","Оптика","Optyka","Optika","Ottico","Óptico","Optique","光学器材","光学","Óptica","光学器材",
"tc_pants","Pants","Pants","Kalhoty","Hosen","Штаны","Spodnie","Nadrág","Pantaloni","Pantalones","Pantalon","裤子","ズボン","Calça","裤子",
"tc_pelts","Pelts","Pelts","Kůže","Pelze","Шкуры","Skóra","Bőr","Pelli","Pieles","Peaux","皮","ペルト","Peles","皮",
"tc_pistols","Pistols","Pistols","Pistole","Pistolen","Пистолеты","Pistolet","Pisztoly","Pistole","Pistolas","Pistolets","手枪","ピストル","Pistolas","手枪",
"tc_radio","Radio","Radio","Radio","Handfunkgeräte","Рации","Radio","Rádió","Radio","Radio","Radio","无线电收发设备","無線","Rádio","无线电收发设备",
"tc_repairs","Repairs","Repairs","Údržba","Reparieren","Ремонт","Konserwacja","Karbantartás","Riparazione","Reparar","Réparation","修理","修理","Reparos","修理",
"tc_rifles","Rifles","Rifles","Pušky","Gewehre","Винтовки","Karabiny","Puskák","Fucili","Rifles","Fusils","步枪","ライフル","Rifles","步枪",
"tc_seeds","Seeds","Seeds","Sadba","Samen","Семена","Sadzonki","Palánták","Semi","Semillas","Des graines","种子","種子","Sementes","种子",
"tc_shotguns","Shotguns","Shotguns","Brokovnice","Flinten","Дробовики","Strzelba","Sörétes puska","Fucili da caccia","Escopetas","Fusil de chasse","散弹枪","ショットガン","Shotguns","散弹枪",
"tc_skirts","Skirts","Skirts","Sukně","Röcke","Юбки","Spódnica","Szoknya","Gonne","Faldas","Jupes","裙子","スカート","Saias","裙子",
"tc_snipers","Snipers","Snipers","Odstřelovačky","Scharfschützengewehr","Снайперские винтовки","Snajper","Orvlövész","Cecchino","Francotirador","Tireur d'élite","狙击枪","狙撃兵","Snipers","狙击枪",
"tc_storages","Storages","Storages","Úložný prostor","Speicherungen","Системы хранения","Przestrzeń magazynowa","Tárhely","Conservazione","Almacenamiento","Stockage","储存设备","ストレージ","Armazenamentos","储存设备",
"tc_submachineguns","Submachine guns","Submachine guns","Samopaly","Maschinenpistole","Пистолеты-пулеметы","Pistolet maszynowy","Géppisztoly","Mitragliatrici","Ametralladoras","Mitrailleuses","冲锋枪","短機関銃","Metralhadoras","冲锋枪",
"tc_suppressors","Suppressors","Suppressors","Tlumiče","Schalldämpfer","Глушители","Amortyzatory","Lengéscsillapítók","Soppressori","Supresores","Suppresseurs","消音器","サプレッサー","Supressores","消音器",
"tc_tablets","Tablets","Tablets","Pilulky","Tabletten","Таблетки","Pigułki","Tabletták","Compresso","Comprimido","Comprimé","药片","タブレット","Comprimidos","药片",
"tc_tops","Tops","Tops","Svršky","Oberbekleidungen","Верхняя одежда","Górny","Felső","Cappotto","Abrigo","Manteau","上衣","トップス","Agasalho","上衣",
"tc_toys","Toys","Toys","Hračky","Spielzeug","Игрушки","Zabawki","Játékok","Giocattoli","Juguetes","Jouets","玩具","おもちゃ","Brinquedos","玩具",
"tc_transport","Transport","Transport","Transportní","Transporte","Транспорт","Transport","Szállítás","Trasporto","Transporte","Le transport","运输","輸送","Transporte","运输",
"tc_trunk","Trunk","Trunk","Kufr","Kofferraum","Багажники","Walizka","Bőrönd","Petto","Tórax","Poitrine","后备箱门","トランク","Baú","后备箱门",
"tc_vests","Vests","Vests","Vesty","Schutzwesten","Жилеты","Kamizelki","Mellény","Giubbotti","Chalecos","Gilets","背心","ベスト","Coletes","背心",
"tc_water","Water","Water","Voda","Wasser","Вода","Woda","Víz","Acqua","Agua","L'eau","水","水","Água","水",
"tc_wheels","Wheels","Wheels","Kola","Räder","Колёса","Koła","Kerekek","Ruote","Ruedas","roues","车轮","ホイール","Rodas","车轮",
"tc_wrenchs","Wrenchs","Wrenchs","Klíče","Schraubenschlüssel","Ключи","Klucze","Kulcsok","Chiavi","Llaves","Clés","扳手","レンチ","Chaves","扳手",
"tc_currency","Currency","Currency","Měna","Währungen","Валюта","Waluta","Valuta","Moneta","Moneda","Pièce de monnaie","货币","通貨","Moeda","货币",
"tc_rareitems","Rare items","Rare items","Vzácné předměty","Seltene Artikel","Редкие предметы","Rzadkie obiekty","Ritka tárgyak","Oggetti rari","Items raros","Objets rares","稀有物品","珍しいアイテム","Itens raros","稀有物品",
"tc_furnishings","Furnishings","Furnishings","Vybavení základny","Einrichtung","Мебель","Baza","Bázis","Arredamento","Mueble","Meubles","家具","家具","Mobiliário","家具",
"tc_insurance","Life insurance","Life insurance","Životní pojištění","Lebensversicherung","Страховка","Ubezpieczenie na życie","Életbiztosítás","Assicurazione sulla vita","Seguro de vida","Assurance-vie","人寿保险卡","生命保険","Seguro de vida","人寿保险卡",
"tc_machineguns","Machine guns","Machine guns","Kulomety","Maschinengewehre","Пулемёты","Karabin maszynowy","Géppuska","Mitragliatrici","Ametralladoras","Mitrailleuses","机关枪","機関銃","Metralhadoras","机关枪",
"tc_medicaments","Medicaments","Medicaments","Léky","Medikamente","Лекарства","Lek","Gyógyszer","Medicinali","Medicamentos","Médicaments","药物","医薬品","Medicamentos","药物",
"tc_camping","Camping","Camping","Kempování","Kampieren","Кемпинг","Kemping","Kemping","Campeggio","Cámping","Camping","露营","キャンプ","Acampamento","露营",
"tc_cooking","Cooking","Cooking","Vaření","Kochen","Приготовление пищи","Gotowanie","Főzés","Culinario","Culinario","Culinaire","烹饪","料理","Culinária","烹饪",
"tc_groceries","Groceries","Groceries","Smíšené zboží","Groceries","Продовольственные товары","Sklep spożywczy","Élelmiszerbolt","Drogheria","Comestibles","Épiceries","杂货","食料品","Mantimentos","杂货",
"tc_nvoptic","NV Optics","NV Optics","NV optiky","Nachtsichtgerät","ПНВ","NV Optics","NV optika","Ottica NV","Óptica NV","Optique NV","NV光学瞄具","NV光学","Óptica NV","NV光学瞄具",
"tc_weapons","Weapons","Weapons","Zbraně","Waffen","Оружие","Pistolety","Fegyverek","Arma","Arma","Arme","武器","兵器","Armas","武器",
"tc_magazines","Magazines","Magazines","Zásobníky","Magazinen","Магазины","czołgi","Tartályok","Badante","Cuidadores","Soignants","弹夹","雑誌","Caregadores","弹夹",
"tc_military_clothes","Clothes","Clothes","Oblečení","Klamotten","Одежда","Odzież","Ruhák","Vestiti","Ropa","Vêtements","衣服","服","Roupas","衣服",
"tc_misc","MISC","MISC","Různé","MISC","Разное","Różne","Különböző","PARECCHI","VARIOS","NOMBREUSES","混杂","その他","DIVERSOS","混杂",
"tc_handgun","Handgun calibers","Handgun calibers","Pistolová munice","Kurzwaffenkaliber","Пистолетные калибры","Amunicja pistoletowa","Pisztolfegyver","Revolver calibri","Calibres de revólveres","Revolvers Calibers","手枪管径","拳銃口径","Calibres de revólveres","手枪管径",
"tc_rifle_calibers","Rifle calibers","Rifle calibers","Pušková munice","Gewehrлaliber","Винтовочные калибры","Amunicja","Lőszer","Fucile","Rifle","Fusil","步枪管径","ライフル口径","Calibres de fuzil","步枪管径",
"tc_ghillie","Ghillie","Ghillie","Ghillie","Ghillie","Камуфляж","Ghillie","Ghillie","Ghillie","Ghillie","Ghillie","吉利服","ギリー","Ghillie","吉利服",
"tc_explosives","Explosives","Explosives","Výbušniny","Sprengstoff","Взрывчатка","Materiały wybuchowe","Robbanóanyagok","Esplosivi","Explosivos","Explosifs","爆炸物","爆発物","Explosivos","爆炸物",
"tc_nbc","NBC clothes","NBC clothes","NBC clothes","Protiradiační oblečení","Защита от радиации","Ubrania NBC","NBC ruhák","Abbigliamento NBC","Ropa de NBC","Vêtements NBC","防辐射服","NBCの服","Roupas NBC","防辐射服",
"tc_winter_colors","Winter","Winter","Zimní","Winter","Зима","Zima","Téli","Inverno","Invierno","Hiver","冬季","冬","Inverno","冬季",
"tc_misc_colors","MISC colors","MISC colors","Různé barvy","MISC Farben","Разноцветные","Różne kolory","Különböző színek","Colori diversi","Diversos colores","Couleurs diverses","纯色","その他の色","Cores DIVERSAS","纯色",
"tc_patterned","Patterned","Patterned","Vzorované","Gemusterte Farben","Камуфлированные","Wzorzyste","Mintás","Standardizzato","Estandarizado","Standardisé","有图案的","パターン","Padronizado","有图案的",
"tc_working","Working","Working","Pracovní","Arbeiten","Рабочее","Pracujący","Dolgozó","Lavoratore","Trabajador","Ouvrier","工作装","働く","Trabalhador","工作装",
"tc_hunting","Hunting","Hunting","Lovecké","Jagd","Охота","Polowanie","Vadászat","Cacciatore","Cazador","Chasseur","狩猎","狩猟","Caçador","狩猎",
"tc_trophies","Trophies","Trophies","Trofeje","Trophäen","Трофеи","Trofea","Trófeák","Trofeo","Trofeo","Trophée","战利品","トロフィー","Troféus","战利品",
"tc_thugs","Thug","Thug","Zločinec","Strolch","Бандит","Kryminalista","Bűnügyi","Assassino","Asesino","Assassin","暴徒","凶悪犯","Assassino","暴徒",
"tc_farming","Farming","Farming","Farmaření","Landwirtschaft","Сельское хозяйство","Rolnictwo","Mezőgazdasági","agricoltura","Agricultura","Agriculture","农业","農業","Agricultura","农业",
"tc_22",".22",".22",".22",".22",".22",".22",".22",".22",".22",".22",".22",".22",".22",".22",
"tc_380",".380",".380",".380",".380",".380",".380",".380",".380",".380",".380",".380",".380",".380",".380",
"tc_9x18","9x18","9x18","9x18","9x18","9x18","9x18","9x18","9x18","9x18","9x18","9x18","9x18","9x18","9x18",
"tc_9x19","9x19","9x19","9x19","9x19","9x19","9x19","9x19","9x19","9x19","9x19","9x19","9x19","9x19","9x19",
"tc_57x28","5.7x28","5.7x28","5.7x28","5.7x28","5.7x28","5.7x28","5.7x28","5.7x28","5.7x28","5.7x28","5.7x28","5.7x28","5.7x28","5.7x28",
"tc_46x30","4.6x30","4.6x30","4.6x30","4.6x30","4.6x30","4.6x30","4,6x30","4.6x30","4.6x30","4.6x30","4.6x30","4.6x30","4.6x30","4.6x30",
"tc_762x25","7.62x25","7.62x25","7.62x25","7.62x25","7.62x25","7.62x25","7.62x25","7.62x25","7.62x25","7.62x25","7.62x25","7.62x25","7.62x25","7.62x25",
"tc_357",".357",".357",".357",".357",".357",".357",".357",".357",".357",".357",".357",".357",".357",".357",
"tc_45",".45",".45",".45",".45",".45",".45",".45",".45",".45",".45",".45",".45",".45",".45",
"tc_545x39","5.45x39","5.45x39","5.45x39","5.45x39","5.45x39","5.45x39","5.45x39","5.45x39","5.45x39","5.45x39","5.45x39","5.45x39","5.45x39","5.45x39",
"tc_556x45","5.56x45","5.56x45","5.56x45","5.56x45","5.56x45","5.56x45","5.56x45","5.56x45","5.56x45","5.56x45","5.56x45","5.56x45","5.56x45","5.56x45",
"tc_762x33","7.62x33","7.62x33","7.62x33","7.62x33","7.62x33","7.62x33","7.62x33","7.62x33","7.62x33","7.62x33","7.62x33","7.62x33","7.62x33","7.62x33",
"tc_792x33","7.92x33","7.92x33","7.92x33","7.92x33","7.92x33","7.92x33","7.92x33","7.92x33","7.92x33","7.92x33","7.92x33","7.92x33","7.92x33","7.92x33",
"tc_762x39","7.62x39","7.62x39","7.62x39","7.62x39","7.62x39","7.62x39","7.62x39","7.62x39","7.62x39","7.62x39","7.62x39","7.62x39","7.62x39","7.62x39",
"tc_300AAC",".300 AAC",".300 AAC",".300 AAC",".300 AAC",".300 AAC",".300 AAC",".300 AAC",".300 AAC",".300 AAC",".300 AAC",".300 AAC",".300 AAC",".300 AAC",".300 AAC",
"tc_9x39","9x39","9x39","9x39","9x39","9x39","9x39","9x39","9x39","9x39","9x39","9x39","9x39","9x39","9x39",
"tc_308",".308",".308",".308",".308",".308",".308",".308",".308",".308",".308",".308",".308",".308",".308",
"tc_762x54","7.62x54","7.62x54","7.62x54","7.62x54","7.62x54","7.62x54","7.62x54","7.62x54","7.62x54","7.62x54","7.62x54","7.62x54","7.62x54","7.62x54",
"tc_792x57","7.92x57","7.92x57","7.92x57","7.92x57","7.92x57","7.92x57","7.92x57","7.92x57","7.92x57","7.92x57","7.92x57","7.92x57","7.92x57","7.92x57",
"tc_338",".338",".338",".338",".338",".338",".338",".338",".338",".338",".338",".338",".338",".338",".338",
"tc_408",".408",".408",".408",".408",".408",".408",".408",".408",".408",".408",".408",".408",".408",".408",
"tc_50",".50",".50",".50",".50",".50",".50",".50",".50",".50",".50",".50",".50",".50",".50",
"tc_38",".38 Special",".38 Special",".38 Special",".38 Special",".38 Special",".38 Special",".38 Special",".38 speciale",".38 Especial",".38 spécial",".38 Special",".38スペシャル",".38 Special",".38 Special",
"tc_40",".40 S&W",".40 S&W",".40 S&W",".40 S&W",".40 S&W",".40 z & w",".40 With & W -vel",".40 S&W",".40 S&W",".40 S&W",".40 S&W",".40 S＆W",".40 S&W",".40 S&W",
"tc_44",".44 Magnum",".44 Magnum",".44 Magnum",".44 Magnum",".44 Magnum",".44 Magnum",".44 Magnum",".44 Magnum",".44 magnum",".44 Magnum",".44 Magnum",".44マグナム",".44 Magnum",".44 Magnum",
"tc_500",".500 S&W",".500 S&W",".500 S&W",".500 S&W",".500 S&W",".500 z & w",".500 with & w",".500 S&W",".500 S&W",".500 S&W",".500 S&W",".500 S＆W",".500 S&W",".500 S&W",
"tc_25",".25 Auto",".25 Auto",".25 Auto",".25 Auto",".25 Auto",".25 samochód",".25 autó",".25 Auto",".25 Auto",".25 Auto",".25 Auto",".25オート",".25 Auto",".25 Auto",
"tc_32",".32 Auto",".32 Auto",".32 Auto",".32 Auto",".32 Auto",".32 Samochód",".32 autó",".32 auto",".32 Auto",".32 Auto",".32 Auto",".32オート",".32 Auto",".32 Auto",
"tc_12_gauge","12 Gauge","12 Gauge","12 Gauge","12 Spur","12 калибр","12 miernik","12 mérőeszköz","12 calibro","Calibre 12","12 calibre","12 Gauge","12ゲージ","12 Gauge","12 Gauge",
"tc_optic_short","Short range optic","Short range optic","Optika s malým zoomem","Optik für kurze Reichweite","Оптика малой кратности","Optyka z małym zoomem","Optika egy kis zoommal","Ottica a corto -range","Óptica de rango corto","Optique courte","短程光学","短距離光学","Óptica de curto alcance","短程光学",
"tc_optic_long","Long range optic","Long range optic","Optika s velkým zoomem","Optik mit großer Reichweite","Оптика большой кратности","Optyka z dużym zoomem","Optika egy nagy zoommal","Ottica a lungo raggio","Óptica de rango largo","Optique à long terme","远程光学","長距離光学","Óptica de longo alcance","远程光学",
"tc_suit","Suit","Suit","Oblek","Anzug","Костюм","Garnitur","Öltöny","Completo da uomo","Traje","Combinaison","套装","スーツ","Terno","套装",
"tc_wrap","Wrap","Wrap","Přehoz","Überwurf","Плед","Pled","Pléd","Sciarpa","Bufanda","Écharpe","包","包む","Cachecol","包",
"tc_head_hat","Caps & Hats","Caps & Hats","Čepice & klobouky","Mützen & Hüte","Шляпы и шапки","Czapki i kapelusze","Sapkák és kalapok","Caps e cappelli","Gorras y sombreros","Caps et chapeaux","帽&帽子","キャップと帽子","Bonés & chapéus","帽&帽子",
"tc_head_helmet","Helmet","Helmet","Přilby","Helm","Шлем","Hełmy","Sisakok","Casco","Casco","Casque","头盔","ヘルメット","Capacete","头盔",
"tc_head_hood","Hood","Hood","Kapuce","Haube","Капюшон","Kaptur","kapucni","Cappuccio","Capucha","Capuche","头戴帽","フード","Capuz","头戴帽",
"tc_head_mask","Mask","Mask","Masky","Maske","Маска","Maski","Maszk","Maschera","Máscara","Masque","面罩","マスク","Máscara","面罩",
"tc_head_gear","Headgear","Headgear","Doplňky na přilby","Kopfhaube","Головные уборы","Hełmy","Sisakok","Casco","Casco","Casque","头带","ヘッドギア","Capacete","头带",
"tc_head_glasses","Glasses","Glasses","Brýle","Brillen","Очки","Okulary","Szemüveg","Occhiali","Lentes","Des lunettes","眼镜","眼鏡","Óculos","眼镜",
"tc_tents","Tents","Tents","Stany","Zelte","Палатки","Namioty","Sátrak","Bancarelle","Establos","Stalles","旅游帐篷","テント","Barracas","旅游帐篷",
"tc_pouches","Pouches","Pouches","Sumky","Beutel","Карманы","Kocia ryba","Harcsa","Borsa di studio","Beca","Bourse","皮制弹药袋","ポーチ","Bolsas","皮制弹药袋",
"tc_holster","Holster","Holster","Pouzdra na zbraně","Holster","Кобура","Bronie","Fegyverek","Fondina","Funda","Étui","手枪皮套","ホルスター","Coldre","手枪皮套",
"tc_sheath","Sheath","Sheath","Pouzdra na nože","Messerscheide","Ножны","Noże","Kés","Guaina","Vaina","Gaine","刀鞘","シース","Bainha","刀鞘",
"tc_poncho","Poncho","Poncho","Pončo","Poncho","Пончо","Poncho","Poncsó","Poncho","Poncho","Poncho","披风","ポンチョ","Poncho","披风",
"tc_bottles","Bottles","Bottles","Láhve","Flaschen","Бутылки","Butelki","Palackok","Bottiglia","Botella","Bouteille","瓶子","ボトル","Garrafas","瓶子",
"tc_drugs","Drugs","Drugs","Drogy","Drogen","Медикаменты","Narkotyk","Drog","Droga","Droga","Drogue","药物","薬物","Drogas","药物",
"tc_cigarettes","Cigarettes","Cigarettes","Cigára","Zigaretten","Сигареты","Cygaro","Szivar","Sigaretta","Cigarrillo","Cigarette","香烟","タバコ","Cigarros","香烟",
"tc_binoculars","Binoculars","Binoculars","Dalekohledy","Ferngläser","Бинокли","Lornetka","Távcső","Binocolo","Prismáticos","Jumelles","双筒望远镜","双眼鏡","Binóculos","双筒望远镜",
"tc_maps","Maps","Maps","Mapy","Karten","Карты","Mapy","Térképez","Mappe","Mapas","Plans","地图","マップ","Mapas","地图",
"tc_compass","Compass","Compass","Kompasy","Kompass","Компас","Współczucie","Együttérzés","Bussola","Brújula","Boussole","指南针","方位磁針","Bússola","指南针",
"tc_radio","Walkie-talkie","Walkie-talkie","Vysílačky","Walkie-talkie","Рации","Radia","Rádiókészülék","Radio","Radios","Radios","对讲机","トランシーバー","Rádios","对讲机",
"tc_grills","Grills","Grills","Grily","Grills","Мангалы и гриль","Grille","Rács","Griglia","Red","Grille","烤架","グリル","Grelha","烤架",
"tc_letters","Letters","Letters","Písmena","Briefe","Письма","List","Levél","Lettere","Letras","Des lettres","信件","手紙","Letras","信件",
"tc_barrels","Barrels","Barrels","Barely","Fässer","Бочки","Beczki","Hordó","Barile","Barril","Baril","油桶","樽","Barris","油桶",
"tc_boxes","Boxes","Boxes","Boxy","Schachteln","Коробки","Pudła","Dobozok","Scatola","Caja","Boîte","盒子","ボックス","Caixas","盒子",
"tc_kits","Kits","Kits","Soupravy","Bausätze","Наборы","Ustawić","Készlet","Kit","Kits","Kits","套件","キット","Kits","套件",
"tc_plotpole","Territory flag","Territory flag","Vlajka území","Gebietsflagge","Флаг территории","Terytorium","Terület","Bandiera del territorio","Bandera de territorio","Drapeau du territoire","领土的旗帜","領土旗","Bandeira do território","领土的旗帜",
